,Accommodation_Capacity,Unit of measurement,Economic activity,Region,Year,Value
3256,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Piemonte,2023,10.39
3259,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2021,9.09
3260,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2022,2.78
3261,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Valle d'Aosta,2023,-14.86
3264,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Liguria,2021,-0.76
3265,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Liguria,2022,1.53
3266,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Liguria,2023,0.75
3269,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Lombardia,2021,1.41
3270,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Lombardia,2022,1.85
3271,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Lombardia,2023,-6.36
3279,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2021,10.26
3280,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2022,-1.16
3281,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Abruzzo,2023,-1.18
3284,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Molise,2021,0.0
3285,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Molise,2022,0.0
3286,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Molise,2023,0.0
3289,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Campania,2021,-0.99
3290,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Campania,2022,3.0
3291,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Campania,2023,0.0
3294,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Puglia,2021,4.72
3295,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Puglia,2022,-2.26
3296,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Puglia,2023,5.38
3299,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Basilicata,2021,0.0
3300,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Basilicata,2022,0.0
3301,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Basilicata,2023,0.0
3304,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Calabria,2021,-0.86
3305,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Calabria,2022,0.87
3306,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Calabria,2023,-13.79
3314,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Sicilia,2021,0.0
3315,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Sicilia,2022,4.0
3316,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Sicilia,2023,-1.28
3319,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Sardegna,2021,1.28
3320,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Sardegna,2022,5.06
3321,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Sardegna,2023,-6.02
3329,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,0.0
3330,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,7.41
3331,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,1.72
3334,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2021,73.33
3335,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2022,31.54
3336,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Trentino-Alto Adige,2023,15.79
3339,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Veneto,2021,-0.59
3340,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Veneto,2022,0.0
3341,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Veneto,2023,-1.78
3344,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2021,3.57
3345,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2022,-6.9
3346,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Friuli Venezia Giulia,2023,3.7
3349,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2021,0.92
3350,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2022,-0.91
3351,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Emilia-Romagna,2023,1.83
3359,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Toscana,2021,3.65
3360,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Toscana,2022,7.93
3361,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Toscana,2023,-1.63
3364,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Umbria,2021,0.0
3365,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Umbria,2022,0.0
3366,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Umbria,2023,3.13
3369,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Marche,2021,-16.85
3370,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Marche,2022,2.03
3371,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Marche,2023,0.0
3374,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2021,3.55
3375,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2022,0.0
3376,Establishments,Percentage change on previous period,"Camping grounds, recreational vehicle parks and trailer parks",Lazio,2023,-5.48
